time	osi
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	111.100000
8	111.100000
9	111.100000
10	111.100000
11	111.100000
12	111.100000
13	111.100000
14	111.100000
15	111.100000
16	111.100000
17	111.100000
18	111.100000
19	111.100000
20	111.100000
21	111.100000
22	111.100000
23	111.100000
24	111.100000
25	111.100000
26	111.100000
27	111.100000
28	111.100000
29	111.100000
30	115.733333
31	120.366667
32	125.000000
33	129.633333
34	134.266667
35	138.900000
36	148.150000
37	157.400000
38	166.650000
39	182.083333
40	243.816667
41	305.550000
42	358.033333
43	410.516667
44	500.033333
45	583.366667
46	634.283333
47	685.200000
48	736.116667
49	787.033333
50	800.916667
51	814.800000
52	814.800000
53	814.800000
54	814.800000
55	814.800000
56	814.800000
57	814.800000
58	814.800000
59	814.800000
60	814.800000
61	814.800000
62	814.800000
63	814.800000
64	814.800000
65	814.800000
66	814.800000
67	814.800000
68	814.800000
69	814.800000
70	814.800000
71	814.800000
72	814.800000
73	814.800000
74	814.800000
75	814.800000
76	814.800000
77	814.800000
78	814.800000
79	814.800000
80	814.800000
81	814.800000
82	814.800000
83	814.800000
84	814.800000
85	814.800000
86	814.800000
87	814.800000
88	814.800000
89	814.800000
90	814.800000
91	814.800000
92	810.166667
93	805.533333
94	800.900000
95	796.266667
96	791.633333
97	787.000000
98	780.833333
99	774.666667
100	768.500000
101	762.333333
102	756.166667
103	750.000000
104	750.000000
105	750.000000
106	750.000000
107	750.000000
108	750.000000
109	750.000000
110	750.000000
111	750.000000
112	750.000000
113	750.000000
114	750.000000
115	750.000000
116	750.000000
117	750.000000
118	750.000000
119	750.000000
120	750.000000
121	750.000000
122	750.000000
123	746.916667
124	743.833333
125	740.750000
126	702.166667
127	663.583333
128	625.000000
129	589.500000
130	554.000000
131	518.500000
132	518.500000
133	518.500000
134	518.500000
135	518.500000
136	518.500000
137	518.500000
138	518.500000
139	518.500000
140	518.500000
141	518.500000
142	518.500000
143	518.500000
144	518.500000
145	518.500000
146	518.500000
147	518.500000
148	518.500000
149	515.416667
150	512.333333
151	509.250000
152	506.166667
153	503.083333
154	500.000000
155	500.000000
156	500.000000
157	500.000000
158	500.000000
159	500.000000
160	500.000000
161	500.000000
162	500.000000
163	500.000000
164	500.000000
165	500.000000
166	500.000000
167	500.000000
168	500.000000
169	500.000000
170	500.000000
171	500.000000
172	500.000000
173	500.000000
174	500.000000
175	500.000000
176	504.633333
177	523.150000
178	541.666667
179	560.183333
180	578.700000
181	597.216667
182	611.100000
183	611.100000
184	611.100000
185	611.100000
186	604.933333
187	598.766667
188	601.850000
189	604.933333
190	608.016667
191	603.383333
192	604.916667
193	606.450000
194	598.733333
195	591.016667
196	583.300000
197	583.300000
198	583.300000
199	583.300000
200	583.300000
201	583.300000
202	583.300000
203	583.300000
204	583.300000
205	583.300000
206	574.050000
207	564.800000
208	555.550000
209	546.300000
210	537.050000
211	527.800000
212	527.800000
213	527.800000
214	527.800000
215	527.800000
216	527.800000
217	527.800000
218	527.800000
219	527.800000
220	527.800000
