time	osi
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	111.100000
8	111.100000
9	111.100000
10	111.100000
11	111.100000
12	111.100000
13	111.100000
14	126.533333
15	151.233333
16	200.616667
17	250.000000
18	308.650000
19	376.550000
20	442.916667
21	500.016667
22	532.433333
23	569.466667
24	597.233333
25	615.750000
26	620.366667
27	624.983333
28	657.383333
29	685.166667
30	712.950000
31	740.733333
32	768.516667
33	796.300000
34	796.300000
35	796.300000
36	796.300000
37	796.300000
38	796.300000
39	796.300000
40	796.300000
41	796.300000
42	796.300000
43	796.300000
44	796.300000
45	796.300000
46	796.300000
47	796.300000
48	796.300000
49	796.300000
50	796.300000
51	796.300000
52	796.300000
53	796.300000
54	796.300000
55	787.033333
56	773.150000
57	759.266667
58	745.383333
59	731.500000
60	717.616667
61	713.000000
62	706.816667
63	700.633333
64	694.450000
65	688.266667
66	682.083333
67	675.900000
68	675.900000
69	675.900000
70	675.900000
71	675.900000
72	675.900000
73	675.900000
74	675.900000
75	675.900000
76	669.733333
77	663.566667
78	657.400000
79	641.966667
80	626.533333
81	611.100000
82	601.833333
83	592.566667
84	583.300000
85	583.300000
86	583.300000
87	583.300000
88	583.300000
89	583.300000
90	583.300000
91	583.300000
92	583.300000
93	583.300000
94	583.300000
95	583.300000
96	583.300000
97	583.300000
98	558.616667
99	533.933333
100	509.250000
101	484.566667
102	459.883333
103	435.200000
104	435.200000
105	435.200000
106	435.200000
107	435.200000
108	435.200000
109	435.200000
110	435.200000
111	430.566667
112	425.933333
113	421.300000
114	416.666667
115	412.033333
116	407.400000
117	407.400000
118	407.400000
119	407.400000
120	407.400000
121	407.400000
122	407.400000
123	407.400000
124	407.400000
125	407.400000
126	407.400000
127	407.400000
128	407.400000
129	407.400000
130	407.400000
131	407.400000
132	407.400000
133	407.400000
134	407.400000
135	407.400000
136	407.400000
137	407.400000
138	407.400000
139	407.400000
140	407.400000
141	407.400000
142	407.400000
143	407.400000
144	407.400000
145	407.400000
146	407.400000
147	407.400000
148	407.400000
149	407.400000
150	407.400000
151	407.400000
152	407.400000
153	407.400000
154	407.400000
155	407.400000
156	407.400000
157	407.400000
158	407.400000
159	407.400000
160	407.400000
161	407.400000
162	407.400000
163	407.400000
164	407.400000
165	407.400000
166	407.400000
167	407.400000
168	407.400000
169	407.400000
170	407.400000
171	407.400000
172	407.400000
173	407.400000
174	407.400000
175	407.400000
176	407.400000
177	407.400000
178	402.766667
179	398.133333
180	393.500000
181	388.866667
182	384.233333
183	379.600000
184	379.600000
185	379.600000
186	379.600000
187	379.600000
188	379.600000
189	379.600000
190	379.600000
191	379.600000
192	379.600000
193	379.600000
194	379.600000
195	379.600000
196	379.600000
197	379.600000
198	379.600000
199	379.600000
200	379.600000
201	379.600000
202	379.600000
203	379.600000
204	379.600000
205	379.600000
206	379.600000
207	379.600000
208	379.600000
209	370.350000
210	361.100000
211	351.850000
212	342.600000
213	333.350000
214	324.100000
215	324.100000
216	324.100000
217	324.100000
218	324.100000
219	324.100000
220	324.100000
221	324.100000
222	324.100000
223	324.100000
224	324.100000
225	324.100000
226	324.100000
227	324.100000
228	324.100000
229	324.100000
230	324.100000
231	324.100000
232	324.100000
233	324.100000
234	324.100000
235	324.100000
236	324.100000
237	324.100000
238	324.100000
239	324.100000
240	324.100000
241	324.100000
242	324.100000
243	324.100000
244	342.616667
245	361.133333
246	379.650000
247	398.166667
248	416.683333
249	435.200000
250	435.200000
251	435.200000
252	435.200000
253	435.200000
254	450.633333
255	466.066667
256	481.500000
257	496.933333
258	515.450000
259	533.966667
260	539.366667
261	544.766667
262	550.166667
263	555.566667
264	557.883333
265	560.200000
266	560.200000
267	560.200000
268	560.200000
269	560.200000
270	560.200000
271	560.200000
272	560.200000
273	560.200000
274	560.200000
275	560.200000
276	560.200000
277	560.200000
278	560.200000
279	560.200000
280	560.200000
281	560.200000
282	560.200000
283	560.200000
284	560.200000
285	560.200000
286	560.200000
287	560.200000
288	560.200000
289	560.200000
290	560.200000
291	560.200000
292	560.200000
293	560.200000
294	560.200000
295	560.200000
296	560.200000
297	560.200000
298	560.200000
299	560.200000
300	560.200000
301	560.200000
302	560.200000
303	560.200000
304	560.200000
305	560.200000
306	560.200000
307	560.200000
308	560.200000
309	560.200000
310	560.200000
311	560.200000
312	560.200000
313	560.200000
314	568.683333
315	577.166667
316	585.650000
317	594.133333
318	602.616667
319	611.100000
320	611.100000
321	611.100000
322	611.100000
323	611.100000
324	611.100000
325	611.100000
326	620.366667
327	629.633333
328	638.900000
329	648.166667
330	657.433333
331	666.700000
332	666.700000
333	672.866667
334	679.033333
335	685.200000
336	691.366667
337	697.533333
338	703.700000
339	708.333333
