time	osi
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	55.600000
8	91.850000
9	142.000000
10	192.150000
11	254.650000
12	317.150000
13	379.650000
14	423.633333
15	456.816667
16	490.000000
17	520.083333
18	585.666667
19	651.250000
20	699.100000
21	743.850000
22	788.600000
23	824.100000
24	824.100000
25	824.100000
26	824.100000
27	824.100000
28	824.100000
29	824.100000
30	824.100000
31	824.100000
32	824.100000
33	824.100000
34	824.100000
35	824.100000
36	824.100000
37	824.100000
38	824.100000
39	833.350000
40	842.600000
41	851.850000
42	861.100000
43	870.350000
44	870.350000
45	861.100000
46	851.850000
47	842.600000
48	833.350000
49	824.100000
50	824.100000
51	824.100000
52	824.100000
53	824.100000
54	824.100000
55	824.100000
56	824.100000
57	824.100000
58	824.100000
59	824.100000
60	824.100000
61	833.350000
62	842.600000
63	851.850000
64	830.233333
65	808.616667
66	787.000000
67	756.133333
68	725.266667
69	694.400000
70	694.400000
71	694.400000
72	694.400000
73	694.400000
74	694.400000
75	694.400000
76	694.400000
77	694.400000
78	688.233333
79	682.066667
80	675.900000
81	669.733333
82	663.566667
83	657.400000
84	657.400000
85	657.400000
86	657.400000
87	657.400000
88	657.400000
89	657.400000
90	657.400000
91	657.400000
92	648.916667
93	640.433333
94	631.950000
95	623.466667
96	614.983333
97	606.500000
98	606.500000
99	606.500000
100	606.500000
101	606.500000
102	606.500000
103	606.500000
104	606.500000
105	606.500000
106	604.183333
107	601.866667
108	599.550000
109	597.233333
110	594.916667
111	592.600000
112	592.600000
113	592.600000
114	594.916667
115	597.233333
116	599.550000
117	601.866667
118	604.183333
119	606.500000
120	606.500000
121	606.500000
122	609.583333
123	612.666667
124	615.750000
125	618.833333
126	621.916667
127	625.000000
128	625.000000
129	625.000000
130	625.000000
131	625.000000
132	625.000000
133	625.000000
134	625.000000
135	625.000000
136	625.000000
137	625.000000
138	625.000000
139	625.000000
140	625.000000
141	625.000000
142	625.000000
143	625.000000
144	625.000000
145	625.000000
146	625.000000
147	625.000000
148	625.000000
149	625.000000
150	625.000000
151	625.000000
152	625.000000
153	621.916667
154	618.833333
155	615.750000
156	612.666667
157	609.583333
158	606.500000
159	606.500000
160	606.500000
161	606.500000
162	606.500000
163	606.500000
164	606.500000
165	606.500000
166	606.500000
167	606.500000
168	606.500000
169	606.500000
170	606.500000
171	606.500000
172	606.500000
173	606.500000
174	606.500000
175	606.500000
176	606.500000
177	606.500000
178	606.500000
179	606.500000
180	606.500000
181	606.500000
182	606.500000
183	606.500000
184	606.500000
185	606.500000
186	606.500000
187	606.500000
188	606.500000
189	606.500000
190	606.500000
191	606.500000
192	606.500000
193	606.500000
194	606.500000
195	606.500000
196	606.500000
197	606.500000
198	608.816667
199	611.133333
200	613.450000
201	609.583333
202	605.716667
203	601.850000
204	595.666667
205	589.483333
206	583.300000
207	583.300000
208	583.300000
209	583.300000
210	583.300000
211	583.300000
212	583.300000
213	583.300000
214	583.300000
215	583.300000
216	583.300000
217	583.300000
218	583.300000
219	583.300000
220	583.300000
221	583.300000
222	583.300000
223	583.300000
224	583.300000
225	583.300000
226	583.300000
227	583.300000
228	583.300000
229	583.300000
230	583.300000
231	583.300000
232	583.300000
233	583.300000
234	583.300000
235	583.300000
236	592.566667
237	611.083333
238	629.600000
239	648.116667
240	666.633333
241	685.150000
242	694.400000
243	712.933333
244	731.466667
245	750.000000
246	768.533333
247	787.066667
248	787.066667
249	768.533333
250	740.750000
251	712.966667
252	685.183333
253	657.400000
254	648.150000
255	638.900000
256	638.900000
257	638.900000
258	638.900000
259	638.900000
260	638.900000
261	638.900000
262	638.900000
263	638.900000
264	638.900000
265	638.900000
266	638.900000
267	638.900000
268	638.900000
269	638.900000
270	638.900000
271	657.416667
272	675.933333
273	694.450000
274	712.966667
275	731.483333
276	731.483333
277	712.966667
278	712.966667
279	712.966667
280	712.966667
281	712.966667
282	731.483333
283	731.483333
284	712.966667
285	694.450000
286	675.933333
287	657.416667
288	638.900000
289	638.900000
290	638.900000
291	638.900000
292	638.900000
293	638.900000
294	638.900000
295	638.900000
296	638.900000
297	641.983333
298	645.066667
299	648.150000
300	651.233333
301	651.233333
302	651.233333
303	648.150000
304	645.066667
305	663.583333
306	682.100000
307	703.700000
308	725.300000
309	716.033333
310	706.766667
311	675.900000
312	645.033333
313	623.433333
314	620.350000
315	648.133333
316	657.400000
317	666.666667
318	675.933333
319	675.933333
320	660.500000
321	645.066667
322	648.150000
323	651.233333
324	654.316667
325	663.566667
326	669.733333
327	706.766667
328	743.800000
329	780.833333
330	799.350000
331	811.700000
332	824.050000
333	805.533333
334	805.533333
